50	31.540262
64	30.035511
77	29.220659
107	27.946737
138	27.115927
198	26.120523
260	25.467766
385	24.701885
514	24.245089
763	23.852951
1020	23.759439
50	31.502062
64	29.981211
77	29.147181
107	27.840080
138	26.977545
201	25.865316
263	25.186956
390	24.251484
519	23.680073
772	22.992500
1033	22.609083
1534	22.284782
2057	22.232121
50	31.497183
64	29.968775
77	29.129139
107	27.810495
138	26.936388
201	25.798908
263	25.098339
390	24.112635
519	23.494833
772	22.713234
1033	22.232063
1534	21.720118
2057	21.481432
3081	21.391253
50	31.492563
64	29.961050
77	29.119148
107	27.793438
138	26.913425
201	25.765011
263	25.054693
390	24.044237
519	23.403940
772	22.574976
1033	22.045187
1534	21.439514
2057	21.104738
3081	20.838972
4105	20.814749
50	31.489246
64	29.954952
77	29.111141
107	27.782169
138	26.900043
201	25.743994
258	25.037531
389	24.001463
509	23.356207
766	22.490601
1009	21.958046
1523	21.268469
2024	20.883543
3049	20.498400
4074	20.377945
6124	20.372461
50	31.484917
64	29.949760
77	29.105728
107	27.774487
138	26.889202
201	25.728651
258	25.018177
389	23.972094
509	23.317614
766	22.432472
1009	21.881905
1523	21.154335
2024	20.731833
3049	20.270706
4074	20.074501
6124	20.018888
50	31.481758
64	29.945061
77	29.100826
107	27.767921
138	26.881071
201	25.717712
258	25.004610
389	23.950710
509	23.289957
766	22.390327
1009	21.827450
1523	21.072222
2024	20.622608
3049	20.106741
4074	19.855656
6124	19.722027
50	31.477802
64	29.940950
77	29.096062
107	27.762419
138	26.874710
201	25.708632
258	24.992756
389	23.933805
509	23.267694
766	22.357355
1009	21.783838
1523	21.008636
2024	20.539209
3050	19.982681
4076	19.691444
6127	19.477762
8173	19.469189
50	31.479105
64	29.941093
77	29.095858
107	27.761728
138	26.873116
201	25.705502
258	24.988102
389	23.924599
509	23.254738
766	22.336039
1009	21.754923
1523	20.964094
2024	20.479105
3050	19.890362
4076	19.567596
6127	19.290607
8173	19.252220
50	31.480280
64	29.941648
77	29.096075
107	27.761316
138	26.871767
201	25.702454
258	24.983852
389	23.916222
509	23.243458
766	22.318258
1009	21.730965
1523	20.927664
2024	20.430126
3050	19.815815
4076	19.467630
6127	19.139769
8173	19.058725
12270	19.058596
50	31.478489
64	29.939625
77	29.094284
107	27.758371
138	26.868561
201	25.698038
258	24.978178
389	23.907946
509	23.232933
766	22.302576
1009	21.710403
1523	20.896702
2024	20.388737
3050	19.753860
4076	19.384859
6127	19.015587
8173	18.893347
12270	18.884514
50	31.478613
64	29.938755
77	29.093132
107	27.756569
138	26.866222
201	25.694319
258	24.973274
389	23.900515
509	23.223694
766	22.289442
1009	21.692886
1523	20.870495
2024	20.353815
3050	19.701740
4076	19.315668
6127	18.911762
8173	18.755207
12270	18.726629
50	31.477570
64	29.937479
77	29.091696
107	27.754620
138	26.863552
201	25.690153
258	24.968332
389	23.893744
509	23.215740
766	22.277744
1009	21.677912
1523	20.847837
2024	20.324369
3050	19.657381
4076	19.256565
6127	18.823408
8173	18.637516
12270	18.581976
50	31.476330
64	29.936138
77	29.090122
107	27.752546
138	26.861074
201	25.687248
258	24.965010
389	23.888870
509	23.209213
766	22.267773
1009	21.665134
1523	20.828476
2024	20.299028
3050	19.619648
4076	19.206324
6127	18.748802
8173	18.537745
12270	18.450176
50	31.474771
64	29.934475
77	29.088581
107	27.751356
138	26.859564
201	25.684822
258	24.961851
389	23.884136
509	23.203350
766	22.259703
1009	21.654541
1523	20.812618
2024	20.277496
3050	19.587343
4076	19.163237
6127	18.684179
8173	18.451359
12270	18.327986
50	31.475595
64	29.935169
77	29.089031
107	27.751276
138	26.858887
201	25.683521
258	24.959942
389	23.880737
509	23.198717
766	22.252352
1009	21.645113
1523	20.798584
2024	20.258709
3050	19.559074
4076	19.125465
6127	18.627556
8173	18.375807
12270	18.215679
16366	18.214769
50	31.474510
64	29.934010
77	29.087532
107	27.749390
138	26.856712
201	25.681126
258	24.956835
389	23.876823
509	23.193840
766	22.245533
1009	21.636150
1523	20.785259
2024	20.241280
3050	19.533367
4076	19.091494
6127	18.576960
8173	18.308453
12270	18.115240
16366	18.108492
50	31.473640
64	29.933313
77	29.087141
107	27.748978
138	26.855907
201	25.680161
258	24.955450
389	23.874313
509	23.190634
766	22.240643
1009	21.629465
1523	20.774818
2024	20.227375
3050	19.511992
4076	19.062666
6127	18.533203
8173	18.249998
12270	18.027084
16366	18.009726
50	31.472763
64	29.932472
77	29.086231
107	27.747566
138	26.854397
201	25.678167
258	24.953211
388	23.889137
509	23.186974
765	22.243271
1009	21.622372
1522	20.768217
2024	20.213873
3050	19.493441
4077	19.037189
6123	18.494701
8172	18.197752
12270	17.947586
16364	17.915937
50	31.472826
64	29.932425
77	29.086203
107	27.747387
138	26.854034
201	25.677372
258	24.952024
388	23.887005
509	23.184048
765	22.238926
1009	21.616695
1522	20.759365
2024	20.202299
3050	19.475998
4077	19.013721
6123	18.459351
8172	18.150570
12270	17.876566
16364	17.828114
50	31.472450
64	29.931772
77	29.085442
107	27.746258
138	26.852680
201	25.675785
258	24.950212
388	23.884449
509	23.181143
765	22.234608
1009	21.611130
1522	20.751474
2024	20.191700
3050	19.460058
4077	18.992329
6123	18.427288
8172	18.107819
12270	17.812023
16364	17.744635
50	31.471466
64	29.931141
77	29.084751
107	27.745125
138	26.851284
201	25.674158
258	24.948400
388	23.882133
509	23.178295
765	22.230503
1009	21.605944
1522	20.744034
2024	20.181974
3050	19.445402
4077	18.972725
6123	18.397882
8172	18.068630
12270	17.753134
16364	17.666418
24557	17.665369
50	31.470415
64	29.929892
77	29.083351
107	27.743458
138	26.849476
201	25.672129
258	24.946095
388	23.879110
509	23.174753
765	22.226030
1009	21.600483
1522	20.736481
2024	20.172264
3050	19.431368
4077	18.954144
6123	18.370438
8172	18.032282
12270	17.698860
16364	17.594320
24557	17.589491
50	31.468964
64	29.928774
77	29.081980
107	27.742195
138	26.848021
201	25.670115
258	24.944008
388	23.876575
509	23.171696
765	22.222181
1009	21.595840
1522	20.729719
2024	20.163612
3050	19.418699
4077	18.937407
6123	18.345474
8172	17.999067
12270	17.648966
16364	17.528164
24557	17.517078
50	31.468832
64	29.928345
77	29.081619
107	27.741623
138	26.847380
201	25.669432
258	24.943253
388	23.875328
509	23.169870
765	22.219471
1009	21.592091
1522	20.724054
2024	20.156172
3050	19.407663
4077	18.922756
6123	18.323174
8172	17.969259
12270	17.603939
16364	17.468170
24557	17.448803
50	31.467957
64	29.927710
77	29.080898
107	27.741007
138	26.846800
201	25.668543
258	24.942236
388	23.874077
509	23.168125
765	22.216738
1009	21.588650
1522	20.718878
2024	20.149364
3050	19.397234
4077	18.908783
6123	18.302229
8172	17.941383
12270	17.562069
16364	17.412271
24557	17.382862
50	31.465933
64	29.925701
77	29.079004
107	27.739084
138	26.844862
201	25.666529
258	24.939989
388	23.871403
509	23.165318
765	22.213120
1009	21.584337
1522	20.712938
2024	20.141802
3050	19.386452
4077	18.894716
6123	18.281693
8172	17.914421
12270	17.522312
16364	17.359671
24557	17.318827
50	31.466124
64	29.925861
77	29.078987
107	27.738970
138	26.844910
201	25.666294
258	24.939543
388	23.870657
509	23.164167
765	22.211193
1009	21.581533
1522	20.708456
2024	20.135822
3050	19.377439
4077	18.882658
6123	18.263626
8172	17.890480
12270	17.486242
16364	17.311613
24557	17.258087
50	31.465864
64	29.925507
77	29.078487
107	27.738247
138	26.843987
201	25.665224
258	24.938446
388	23.869307
509	23.162424
765	22.208652
1009	21.578333
1522	20.703707
2024	20.129471
3050	19.368444
4077	18.870930
6123	18.246481
8172	17.867847
