"size.L1"	"mr.L1"	"cost"	"mr.L2i"	"size.L2e"	"latency"
60	95.0853823636364	0.6	92.4655390840336	21.1764705882354	9.15770821259893
60	95.0853823636364	0.7	74.21208789819	171.764705882353	7.36886999638626
60	95.0853823636364	0.8	58.0902395493519	322.352941176471	5.78892885820013
60	95.0853823636364	0.9	44.3604740363322	472.941176470588	4.44341183792419
60	95.0853823636364	1	33.3497019739634	623.529411764706	3.36435617581205
60	95.0853823636364	1.1	24.1945715933504	774.117647058824	2.46715339851197
60	95.0853823636364	1.2	16.9842945676219	924.705882352941	1.76054624999058
60	95.0853823636364	1.3	12.5006531583012	1075.29411764706	1.32114939187715
60	95.0853823636364	1.4	8.63779711188004	1225.88235294118	0.942589499327881
60	95.0853823636364	1.5	6.34569594463668	1376.47058823529	0.717963584938031
60	95.0853823636364	1.6	4.55567115103339	1527.05882352941	0.542541155164908
60	95.0853823636364	1.7	3.31280714013173	1677.64705882353	0.420740482096546
60	95.0853823636364	1.8	2.5184754343714	1828.23529411765	0.342895974932033
60	95.0853823636364	1.9	1.89312602901043	1978.82352941176	0.281611733206659
60	95.0853823636364	2	1.64387138390093	2129.41176470588	0.257184777985927
60	95.0853823636364	2.1	1.39461673879142	2280	0.232757822765196
60	95.0853823636364	2.2	1.14536209368192	2430.58823529412	0.208330867544464
60	95.0853823636364	2.3	1.03125047974365	2581.17647058824	0.197147929378514
60	95.0853823636364	2.4	0.987195217669947	2731.76470588235	0.192830513695291
60	95.0853823636364	2.5	0.943139955596246	2882.35294117647	0.188513098012068
60	95.0853823636364	2.6	0.909839175555047	3032.94117647059	0.185249621568031
60	95.0853823636364	2.7	0.909623840238041	3183.52941176471	0.185228518706964
80	92.6377018571429	2.8	0.909800482490272	3040	0.18279814914119
100	89.9414462	2.9	0.92730759578851	2896.47058823529	0.181817590587274
100	89.9414462	3	0.909761789425498	3047.05882352941	0.180098101563699
120	87.568492625	3.1	0.919391415884642	2903.52941176471	0.178668851381695
