"size.L1"	"mr.L1"	"cost"	"mr.L2i"	"size.L2e"	"latency"
60	17.623044	0.6	16.1766956561086	21.1764705882354	1.60393921829864
60	17.623044	0.7	12.5592772036199	171.764705882353	1.24943220995475
60	17.623044	0.8	11.2899629333333	322.352941176471	1.12503941146667
60	17.623044	0.9	10.5559043050109	472.941176470588	1.05310166589107
60	17.623044	1	10.0572025112386	623.529411764706	1.00422889010139
60	17.623044	1.1	9.65837501534527	774.117647058824	0.965143795503836
60	17.623044	1.2	9.32820799145299	924.705882352941	0.932787427162393
60	17.623044	1.3	9.07511000749489	1075.29411764706	0.907983824734499
60	17.623044	1.4	8.8398333704729	1225.88235294118	0.884926714306344
60	17.623044	1.5	8.6468772828143	1376.47058823529	0.866017017715802
60	17.623044	1.6	8.46957687962753	1527.05882352941	0.848641578203498
60	17.623044	1.7	8.31027196933909	1677.64705882353	0.83302969699523
60	17.623044	1.8	8.17028106484483	1828.23529411765	0.819310588354794
60	17.623044	1.9	8.0384342043946	1978.82352941176	0.806389596030671
60	17.623044	2	7.93139555939574	2129.41176470588	0.795899808820783
60	17.623044	2.1	7.82435691439689	2280	0.785410021610895
60	17.623044	2.2	7.71731826939803	2430.58823529412	0.774920234401007
60	17.623044	2.3	7.62549908560311	2581.17647058824	0.765921954389105
60	17.623044	2.4	7.54204507782101	2731.76470588235	0.757743461626459
60	17.623044	2.5	7.45859107003891	2882.35294117647	0.749564968863813
60	17.623044	2.6	7.3788143151751	3032.94117647059	0.74174684688716
60	17.623044	2.7	7.31120840077821	3183.52941176471	0.735121467276264
60	17.623044	2.8	7.24360248638132	3334.11764705882	0.72849608766537
60	17.623044	2.9	7.17599657198444	3484.70588235294	0.721870708054475
60	17.623044	3	7.11831430516864	3635.29411764706	0.716217845906527
60	17.623044	3.1	7.06282887636699	3785.88235294118	0.710780273883965
60	17.623044	3.2	7.00734344756533	3936.47058823529	0.705342701861402
60	17.623044	3.3	6.95685693292858	4087.05882352941	0.700395023427
60	17.623044	3.4	6.91312285422991	4237.64705882353	0.696109083714531
60	17.623044	3.5	6.86938877553124	4388.23529411765	0.691823144002062
60	17.623044	3.6	6.82565469683258	4538.82352941176	0.687537204289593
60	17.623044	3.7	6.78192061813391	4689.41176470588	0.683251264577123
60	17.623044	3.8	6.73818653943525	4840	0.678965324864654
60	17.623044	3.9	6.69445246073658	4990.58823529412	0.674679385152185
60	17.623044	4	6.65744309803922	5141.17647058824	0.671052467607843
60	17.623044	4.1	6.62481564705882	5291.76470588235	0.667854977411765
60	17.623044	4.2	6.59218819607843	5442.35294117647	0.664657487215686
60	17.623044	4.3	6.55956074509804	5592.94117647059	0.661459997019608
60	17.623044	4.4	6.52693329411765	5743.52941176471	0.658262506823529
60	17.623044	4.5	6.49430584313725	5894.11764705882	0.655065016627451
60	17.623044	4.6	6.46167839215686	6044.70588235294	0.651867526431372
60	17.623044	4.7	6.4350257120743	6195.29411764706	0.649255563783282
60	17.623044	4.8	6.40975536234377	6345.88235294118	0.646779069509689
60	17.623044	4.9	6.38448501261323	6496.47058823529	0.644302575236097
60	17.623044	5	6.3592146628827	6647.05882352941	0.641826080962504
60	17.623044	5.1	6.33394431315216	6797.64705882353	0.639349586688912
60	17.623044	5.2	6.30867396342163	6948.23529411765	0.636873092415319
60	17.623044	5.3	6.28340361369109	7098.82352941176	0.634396598141727
60	17.623044	5.4	6.26352461210737	7249.41176470588	0.632448455986522
60	17.623044	5.5	6.24365193592233	7400	0.630500933720388
60	17.623044	5.6	6.22377925973729	7550.58823529412	0.628553411454255
60	17.623044	5.7	6.20390658355226	7701.17647058824	0.626605889188121
60	17.623044	5.8	6.18403390736722	7851.76470588235	0.624658366921987
60	17.623044	5.9	6.16416123118218	8002.35294117647	0.622710844655854
60	17.623044	6	6.1451548	8152.94117647059	0.6208482144
60	17.623044	6.1	6.13073074103194	8303.52941176471	0.61943465662113
60	17.623044	6.2	6.11630668206388	8454.11764705882	0.61802109884226
60	17.623044	6.3	6.10188262309582	8604.70588235294	0.616607541063391
60	17.623044	6.4	6.08745856412776	8755.29411764706	0.615193983284521
60	17.623044	6.5	6.0730345051597	8905.88235294118	0.613780425505651
60	17.623044	6.6	6.05861044619165	9056.47058823529	0.612366867726781
60	17.623044	6.7	6.04418638722359	9207.05882352941	0.610953309947912
60	17.623044	6.8	6.02976232825553	9357.64705882353	0.609539752169042
60	17.623044	6.9	6.01533826928747	9508.23529411765	0.608126194390172
60	17.623044	7	6.00091421031941	9658.82352941176	0.606712636611302
60	17.623044	7.1	5.98649015135135	9809.41176470588	0.605299078832432
60	17.623044	7.2	5.97206609238329	9960	0.603885521053563
60	17.623044	7.3	5.95764203341523	10110.5882352941	0.602471963274693
60	17.623044	7.4	5.94658676932343	10261.1764705882	0.601388547393696
60	17.623044	7.5	5.93738311888032	10411.7647058824	0.600486589650271
60	17.623044	7.6	5.9281794684372	10562.3529411765	0.599584631906846
60	17.623044	7.7	5.91897581799409	10712.9411764706	0.598682674163421
60	17.623044	7.8	5.90977216755098	10863.5294117647	0.597780716419996
