"size.L1"	"mr.L1"	"latency"	"mr.L2"	"size.L2e"	"cost"
1200	0.107007516138996	0.2	0.0091121682026633	1851.47154331633	12.9482428217335
910	0.204138794444444	0.21	0.00914144087301587	2131.46565624802	10.3021451623522
720	0.306729518196721	0.22	0.00911500491635998	2330.50190725128	8.57884892278405
590	0.4019873225	0.23	0.00916339466836735	2443.96148275235	7.38466192214023
460	0.50420966	0.24	0.00914071775510204	2581.7128300144	6.20660617618144
360	0.603707749047619	0.25	0.00914583929543246	2679.96220208928	5.29528739982491
270	0.698722186065574	0.26	0.00919671238708598	2752.57293067094	4.46459921177367
180	0.802144263529412	0.27	0.00916179322929172	2854.50888134443	3.65338480401778
100	0.899414462	0.28	0.00918964834693878	2924.98753743921	2.91893703658073
0	1	0.29	0.00918367346938775	3027.02985026215	2.01013700993971
0	1	0.3	0.0102040816326531	2678.23731708241	1.77851696837504
0	1	0.31	0.0112244897959184	2504.43128890863	1.66309890279089
0	1	0.32	0.0122448979591837	2442.7829033717	1.62216052177027
0	1	0.33	0.013265306122449	2381.13451783476	1.58122214074964
0	1	0.34	0.0142857142857143	2319.48613229782	1.54028375972902
0	1	0.35	0.0153061224489796	2257.83774676088	1.4993453787084
0	1	0.36	0.0163265306122449	2196.18936122394	1.45840699768778
0	1	0.37	0.0173469387755102	2134.54097568701	1.41746861666715
0	1	0.38	0.0183673469387755	2072.89259015007	1.37653023564653
0	1	0.39	0.0193877551020408	2022.20788454626	1.3428724233315
0	1	0.4	0.0204081632653061	1998.62555872079	1.32721228508802
0	1	0.41	0.0214285714285714	1975.04323289531	1.31155214684454
0	1	0.42	0.0224489795918367	1951.46090706984	1.29589200860107
0	1	0.43	0.023469387755102	1927.87858124437	1.28023187035759
0	1	0.44	0.0244897959183673	1904.29625541889	1.26457173211411
0	1	0.45	0.0255102040816326	1880.71392959342	1.24891159387063
0	1	0.46	0.026530612244898	1857.13160376795	1.23325145562715
0	1	0.47	0.0275510204081633	1833.54927794248	1.21759131738368
0	1	0.48	0.0285714285714286	1809.966952117	1.2019311791402
0	1	0.49	0.0295918367346939	1786.38462629153	1.18627104089672
0	1	0.5	0.0306122448979592	1768.12938594249	1.17414842035243
0	1	0.51	0.0316326530612245	1755.76588814723	1.16593828509777
0	1	0.52	0.0326530612244898	1743.40239035198	1.15772814984311
0	1	0.53	0.0336734693877551	1731.03889255673	1.14951801458845
0	1	0.54	0.0346938775510204	1718.67539476147	1.14130787933379
0	1	0.55	0.0357142857142857	1706.31189696622	1.13309774407913
0	1	0.56	0.036734693877551	1693.94839917096	1.12488760882447
0	1	0.57	0.0377551020408163	1681.58490137571	1.11667747356981
0	1	0.58	0.0387755102040816	1669.22140358046	1.10846733831515
0	1	0.59	0.0397959183673469	1656.8579057852	1.10025720306049
0	1	0.6	0.0408163265306122	1644.49440798995	1.09204706780582
0	1	0.61	0.0418367346938776	1632.13091019469	1.08383693255116
0	1	0.62	0.0428571428571429	1619.76741239944	1.0756267972965
0	1	0.63	0.0438775510204082	1607.40391460418	1.06741666204184
0	1	0.64	0.0448979591836735	1595.04041680893	1.05920652678718
0	1	0.65	0.0459183673469388	1582.67691901368	1.05099639153252
0	1	0.66	0.0469387755102041	1570.31342121842	1.04278625627786
0	1	0.67	0.0479591836734694	1557.94992342317	1.0345761210232
0	1	0.68	0.0489795918367347	1545.58642562791	1.02636598576854
0	1	0.69	0.05	1533.22292783266	1.01815585051388
0	1	0.7	0.0510204081632653	1520.85943003741	1.00994571525921
0	1	0.71	0.0520408163265306	1511.47324827707	1.00371270393399
0	1	0.72	0.0530612244897959	1504.76929180334	0.999260857838159
0	1	0.73	0.0540816326530612	1498.06533532962	0.994809011742323
0	1	0.74	0.0551020408163265	1491.36137885589	0.990357165646487
0	1	0.75	0.0561224489795918	1484.65742238216	0.985905319550651
0	1	0.76	0.0571428571428571	1477.95346590843	0.981453473454815
0	1	0.77	0.0581632653061225	1471.2495094347	0.97700162735898
0	1	0.78	0.0591836734693878	1464.54555296097	0.972549781263144
0	1	0.79	0.0602040816326531	1457.84159648724	0.968097935167308
0	1	0.8	0.0612244897959184	1451.13764001351	0.963646089071472
0	1	0.81	0.0622448979591837	1444.43368353978	0.959194242975636
0	1	0.82	0.063265306122449	1437.72972706605	0.954742396879801
0	1	0.83	0.0642857142857143	1431.02577059232	0.950290550783965
0	1	0.84	0.0653061224489796	1424.32181411859	0.945838704688129
0	1	0.85	0.0663265306122449	1417.61785764487	0.941386858592293
0	1	0.86	0.0673469387755102	1410.91390117114	0.936935012496457
0	1	0.87	0.0683673469387755	1404.20994469741	0.932483166400622
0	1	0.88	0.0693877551020408	1397.50598822368	0.928031320304786
0	1	0.89	0.0704081632653061	1390.80203174995	0.92357947420895
0	1	0.9	0.0714285714285714	1384.09807527622	0.919127628113114
0	1	0.91	0.0724489795918367	1377.39411880249	0.914675782017279
0	1	0.92	0.073469387755102	1370.69016232876	0.910223935921443
0	1	0.93	0.0744897959183674	1363.98620585503	0.905772089825607
0	1	0.94	0.0755102040816327	1357.2822493813	0.901320243729771
0	1	0.95	0.076530612244898	1350.57829290757	0.896868397633935
0	1	0.96	0.0775510204081633	1343.87433643384	0.8924165515381
0	1	0.97	0.0785714285714286	1337.17037996011	0.887964705442264
0	1	0.98	0.0795918367346939	1330.46642348639	0.883512859346428
0	1	0.99	0.0806122448979592	1323.76246701266	0.879061013250592
0	1	1	0.0816326530612245	1317.05851053893	0.874609167154756
0	1	1.01	0.0826530612244898	1310.3545540652	0.870157321058921
