"size.L1"	"mr.L1"	"latency"	"mr.L2"	"size.L2e"	"cost"
470	0.108055589655172	0.67	0.0570606572484166	15888.4517735707	15.1407687558868
90	0.156654602666667	0.68	0.0575851571156463	13992.0259124205	10.1704859574667
60	0.17623044	0.69	0.0584058118367347	11995.618056893	8.55177761590554
60	0.17623044	0.7	0.05942622	10326.047210677	7.44307822584022
50	0.188021293333333	0.71	0.0603263133333333	9337.69443503898	6.68909396076807
50	0.188021293333333	0.72	0.0613467214965986	8272.3808161325	5.98165913571299
50	0.188021293333333	0.73	0.0623671296598639	7462.58110320332	5.44390151384595
50	0.188021293333333	0.74	0.0633875378231292	6778.98700934485	4.98995231089306
50	0.188021293333333	0.75	0.0644079459863946	6170.91681552336	4.58615569780848
50	0.188021293333333	0.76	0.0654283541496599	5680.13500784929	4.26024590364992
50	0.188021293333333	0.77	0.0664487623129252	5209.17739403454	3.94750061322606
50	0.188021293333333	0.78	0.0674691704761905	4819.93850425711	3.68902166298324
50	0.188021293333333	0.79	0.0684895786394558	4468.58443631255	3.45570060223881
50	0.188021293333333	0.8	0.0695099868027211	4117.23036836799	3.22237954149437
50	0.188021293333333	0.81	0.0705303949659864	3822.45086751838	3.02662752921142
50	0.188021293333333	0.82	0.0715508031292517	3545.51065473725	2.84272191916145
50	0.188021293333333	0.83	0.072571211292517	3314.00565772206	2.68898813208105
50	0.188021293333333	0.84	0.0735916194557823	3086.71568471208	2.53805338437912
50	0.188021293333333	0.85	0.0746120276190476	2887.6402847126	2.40585487656696
50	0.188021293333333	0.86	0.0756324357823129	2703.51316048024	2.28358295813141
50	0.188021293333333	0.87	0.0766528439455782	2519.38603624787	2.16131103969585
50	0.188021293333333	0.88	0.0776732521088435	2370.23554098486	2.06226578893526
50	0.188021293333333	0.89	0.0786936602721088	2226.67854380176	1.96693497049336
50	0.188021293333333	0.9	0.0797140684353742	2083.12154661866	1.87160415205146
50	0.188021293333333	0.91	0.0807344765986395	1947.55285006448	1.78157806449594
50	0.188021293333333	0.92	0.0817548847619048	1832.35652241456	1.70508050316592
50	0.188021293333333	0.93	0.0827752929251701	1718.59815701953	1.62953783864578
50	0.188021293333333	0.94	0.0837957010884354	1622.14070049317	1.56548405892124
50	0.188021293333333	0.95	0.0848161092517007	1525.6832439668	1.50143027919671
50	0.188021293333333	0.96	0.085836517414966	1435.8135387899	1.44175117810267
40	0.338532408163265	0.97	0.085321097875885	1487.9475240685	1.37871515270174
40	0.338532408163265	0.98	0.0863415060391503	1406.40283831277	1.32456438481707
30	0.503899306122449	0.99	0.0856744968763015	1468.45806703202	1.26811668513845
30	0.503899306122449	1	0.0866949050395668	1388.82260880397	1.21523376365889
20	0.669266204081633	1.01	0.086027895876718	1450.87783752323	1.15878606398027
10	0.834633102040816	1.02	0.0853608867138692	1514.18635256061	1.10317062474728
10	0.834633102040816	1.03	0.0863812948771345	1433.29760801444	1.04945544282209
0	1	1.04	0.0857142857142857	1495.35283673369	0.993007743143469
0	1	1.05	0.086734693877551	1415.71737850565	0.940124821663906
0	1	1.06	0.0877551020408163	1336.0819202776	0.887241900184343
0	1	1.07	0.0887755102040816	1257.59476432568	0.835121523185023
0	1	1.08	0.0897959183673469	1194.42549013381	0.793173177041985
0	1	1.09	0.0908163265306123	1131.25621594194	0.751224830898947
0	1	1.1	0.0918367346938775	1068.08694175008	0.70927648475591
0	1	1.11	0.0928571428571429	1004.91766755821	0.667328138612872
0	1	1.12	0.0938775510204082	957.05429125297	0.635543865285175
0	1	1.13	0.0948979591836735	909.670112562939	0.604077809123826
0	1	1.14	0.0959183673469388	863.471269411554	0.57339888984361
0	1	1.15	0.0969387755102041	818.45556480226	0.543505648501501
0	1	1.16	0.0979591836734694	773.439860192966	0.513612407159391
0	1	1.17	0.0989795918367347	733.949981872942	0.487388659837501
0	1	1.18	0.1	701.641211313072	0.465933616887587
0	1	1.19	0.101020408163265	669.332440753202	0.444478573937673
0	1	1.2	0.102040816326531	637.023670193332	0.423023530987759
0	1	1.21	0.103061224489796	606.207857979149	0.402559905689279
0	1	1.22	0.104081632653061	576.27697304837	0.382683927414933
0	1	1.23	0.105102040816327	546.34608811759	0.362807949140587
0	1	1.24	0.106122448979592	516.415203186811	0.342931970866242
0	1	1.25	0.107142857142857	487.678513584622	0.323849012927288
0	1	1.26	0.108163265306122	467.914454199485	0.310724442241845
0	1	1.27	0.109183673469388	448.150394814347	0.297599871556403
0	1	1.28	0.110204081632653	428.786138341325	0.284740794992286
0	1	1.29	0.111224489795918	411.208703736266	0.273068279824864
0	1	1.3	0.112244897959184	393.631269131207	0.261395764657442
0	1	1.31	0.113265306122449	376.053834526148	0.24972324949002
0	1	1.32	0.114285714285714	361.185973596638	0.239850060591518
0	1	1.33	0.11530612244898	347.13033450547	0.230516237757539
0	1	1.34	0.116326530612245	333.074695414301	0.221182414923559
0	1	1.35	0.11734693877551	319.019056323133	0.21184859208958
0	1	1.36	0.118367346938776	305.711299472489	0.20301140980595
0	1	1.37	0.119387755102041	294.259834124211	0.195406921098109
0	1	1.38	0.120408163265306	282.808368775932	0.187802432390267
0	1	1.39	0.121428571428571	271.356903427653	0.180197943682426
0	1	1.4	0.122448979591837	259.905438079374	0.172593454974584
0	1	1.41	0.123469387755102	248.453972731095	0.164988966266743
0	1	1.42	0.124489795918367	240.36178988055	0.159615251092553
0	1	1.43	0.125510204081633	232.40827706172	0.154333621486299
0	1	1.44	0.126530612244898	224.454764242891	0.149051991880045
0	1	1.45	0.127551020408163	216.473926315394	0.143752216693816
