"size.L1"	"size.L2i"	"mr.L1"	"mr.L2"	"size.L2e"	"cost"	"latency"	"workload"
2816	1280	0.713463086721312	0.0872733231372549	1024	3.18	1.02662487541723	"Tenant 2"
2784	1440	0.679769599508197	0.0629197482352941	1152	3.5775	0.784590492656702	"Tenant 2"
2752	1600	0.646018072857143	0.0444886252509652	1280	3.975	0.600590334745174	"Tenant 2"
2720	1760	0.612169813809524	0.0312831951351351	1408	4.3725	0.467792293705277	"Tenant 2"
2688	1920	0.579281875254237	0.0238102942745098	1536	4.77	0.39126907141562	"Tenant 2"
2656	2080	0.547797482033898	0.018249704619883	1664	5.1675	0.333626853478244	"Tenant 2"
2624	2240	0.51613502	0.0156013740155945	1792	5.565	0.304506967352827	"Tenant 2"
2592	2400	0.48433406	0.012953043411306	1920	5.9625	0.275373231430799	"Tenant 2"
2560	2560	0.458878761764706	0.0105499901945525	2048	6.36	0.249277780083085	"Tenant 2"
2528	2720	0.435538684117647	0.0100819030350195	2176	6.7575	0.242356518154955	"Tenant 2"
2496	2880	0.412198606470588	0.00961381587548638	2304	7.155	0.235435256226825	"Tenant 2"
2464	3040	0.388858528823529	0.00914572871595331	2432	7.5525	0.228513994298695	"Tenant 2"
2432	3200	0.365445328032787	0.00909686085603113	2560	7.95	0.225693769192384	"Tenant 2"
2400	3360	0.341959004098361	0.00909457291828794	2688	8.3475	0.223322715009058	"Tenant 2"
2368	3520	0.318472680163934	0.00909228498054475	2816	8.745	0.220951660825732	"Tenant 2"
2336	3680	0.294986356229508	0.00909157	2944	9.1425	0.218596021622951	"Tenant 2"
2304	3840	0.276236843043478	0.00909157	3072	9.54	0.216721070304348	"Tenant 2"
2272	4000	0.259640425652174	0.00909157	3200	9.9375	0.215061428565217	"Tenant 2"
2240	4160	0.24304400826087	0.00909157	3328	10.335	0.213401786826087	"Tenant 2"
2208	4320	0.226447590869565	0.00909157	3456	10.7325	0.211742145086957	"Tenant 2"
2176	4480	0.210565890512821	0.00909157	3584	11.13	0.210153975051282	"Tenant 2"
2144	4640	0.195875385213675	0.00909157	3712	11.5275	0.208684924521368	"Tenant 2"
2112	4800	0.18118487991453	0.00909157	3840	11.925	0.207215873991453	"Tenant 2"
2080	4960	0.166494374615385	0.00909157	3968	12.3225	0.205746823461538	"Tenant 2"
2048	5120	0.155964838146718	0.00909157	4096	12.72	0.204693869814672	"Tenant 2"
2016	5280	0.147063506872587	0.00909157	4224	13.1175	0.203803736687259	"Tenant 2"
1984	5440	0.138162175598456	0.00909157	4352	13.515	0.202913603559846	"Tenant 2"
1952	5600	0.129260844324324	0.00909157	4480	13.9125	0.202023470432432	"Tenant 2"
1920	5760	0.120359513050193	0.00909157	4608	14.31	0.201133337305019	"Tenant 2"
1888	5920	0.111458181776062	0.00909157	4736	14.7075	0.200243204177606	"Tenant 2"
1856	6080	0.10255685050193	0.00909157	4864	15.105	0.199353071050193	"Tenant 2"
1824	6240	0.0936555192277992	0.00909157	4992	15.5025	0.19846293792278	"Tenant 2"
1792	6400	0.0872733231372549	0.00909157	5120	15.9	0.197824718313726	"Tenant 2"
1760	6560	0.0824026081568627	0.00909157	5248	16.2975	0.197337646815686	"Tenant 2"
1728	6720	0.0775318931764706	0.00909157	5376	16.695	0.196850575317647	"Tenant 2"
1696	6880	0.0726611781960784	0.00909157	5504	17.0925	0.196363503819608	"Tenant 2"
1664	7040	0.0677904632156863	0.00909157	5632	17.49	0.195876432321569	"Tenant 2"
1632	7200	0.0629197482352941	0.00909157	5760	17.8875	0.195389360823529	"Tenant 2"
1600	7360	0.058049033254902	0.00909157	5888	18.285	0.19490228932549	"Tenant 2"
1568	7520	0.0531783182745098	0.00909157	6016	18.6825	0.194415217827451	"Tenant 2"
1536	7680	0.0497707972972973	0.00909157	6144	19.08	0.19407446572973	"Tenant 2"
1504	7840	0.0471297112741313	0.00909157	6272	19.4775	0.193810357127413	"Tenant 2"
1472	8000	0.0444886252509652	0.00909157	6400	19.875	0.193546248525097	"Tenant 2"
1440	8160	0.0418475392277992	0.00909157	6528	20.2725	0.19328213992278	"Tenant 2"
1408	8320	0.0392064532046332	0.00909157	6656	20.67	0.193018031320463	"Tenant 2"
1376	8480	0.0365653671814672	0.00909157	6784	21.0675	0.192753922718147	"Tenant 2"
1344	8640	0.0339242811583012	0.00909157	6912	21.465	0.19248981411583	"Tenant 2"
1312	8800	0.0312831951351351	0.00909157	7040	21.8625	0.192225705513514	"Tenant 2"
1280	8960	0.0293488592941176	0.00909157	7168	22.26	0.192032271929412	"Tenant 2"
1248	9120	0.0279642180392157	0.00909157	7296	22.6575	0.191893807803922	"Tenant 2"
1216	9280	0.0265795767843137	0.00909157	7424	23.055	0.191755343678431	"Tenant 2"
1184	9440	0.0251949355294118	0.00909157	7552	23.4525	0.191616879552941	"Tenant 2"
1152	9600	0.0238102942745098	0.00909157	7680	23.85	0.191478415427451	"Tenant 2"
1120	9760	0.0224256530196078	0.00909157	7808	24.2475	0.191339951301961	"Tenant 2"
1088	9920	0.0210410117647059	0.00909157	7936	24.645	0.191201487176471	"Tenant 2"
1056	10080	0.0196563705098039	0.00909157	8064	25.0425	0.19106302305098	"Tenant 2"
1024	10240	0.0187793707407407	0.00909157	8192	25.44	0.190975323074074	"Tenant 2"
992	10400	0.018249704619883	0.00909157	8320	25.8375	0.190922356461988	"Tenant 2"
960	10560	0.0177200384990253	0.00909157	8448	26.235	0.190869389849903	"Tenant 2"
928	10720	0.0171903723781676	0.00909157	8576	26.6325	0.190816423237817	"Tenant 2"
896	10880	0.0166607062573099	0.00909157	8704	27.03	0.190763456625731	"Tenant 2"
864	11040	0.0161310401364522	0.00909157	8832	27.4275	0.190710490013645	"Tenant 2"
832	11200	0.0156013740155945	0.00909157	8960	27.825	0.190657523401559	"Tenant 2"
800	11360	0.0150717078947368	0.00909157	9088	28.2225	0.190604556789474	"Tenant 2"
768	11520	0.0145420417738791	0.00909157	9216	28.62	0.190551590177388	"Tenant 2"
736	11680	0.0140123756530214	0.00909157	9344	29.0175	0.190498623565302	"Tenant 2"
704	11840	0.0134827095321637	0.00909157	9472	29.415	0.190445656953216	"Tenant 2"
672	12000	0.012953043411306	0.00909157	9600	29.8125	0.190392690341131	"Tenant 2"
640	12160	0.0124233772904483	0.00909157	9728	30.21	0.190339723729045	"Tenant 2"
608	12320	0.0118937111695906	0.00909157	9856	30.6075	0.190286757116959	"Tenant 2"
576	12480	0.0113640450487329	0.00909157	9984	31.005	0.190233790504873	"Tenant 2"
544	12640	0.0108343789278752	0.00909157	10112	31.4025	0.190180823892788	"Tenant 2"
512	12800	0.0105499901945525	0.00909157	10240	31.8	0.190152385019455	"Tenant 2"
480	12960	0.0104563727626459	0.00909157	10368	32.1975	0.190143023276265	"Tenant 2"
448	13120	0.0103627553307393	0.00909157	10496	32.595	0.190133661533074	"Tenant 2"
416	13280	0.0102691378988327	0.00909157	10624	32.9925	0.190124299789883	"Tenant 2"
384	13440	0.0101755204669261	0.00909157	10752	33.39	0.190114938046693	"Tenant 2"
352	13600	0.0100819030350195	0.00909157	10880	33.7875	0.190105576303502	"Tenant 2"
320	13760	0.00998828560311284	0.00909157	11008	34.185	0.190096214560311	"Tenant 2"
288	13920	0.00989466817120623	0.00909157	11136	34.5825	0.190086852817121	"Tenant 2"
256	14080	0.00980105073929961	0.00909157	11264	34.98	0.19007749107393	"Tenant 2"
224	14240	0.009707433307393	0.00909157	11392	35.3775	0.190068129330739	"Tenant 2"
192	14400	0.00961381587548638	0.00909157	11520	35.775	0.190058767587549	"Tenant 2"
160	14560	0.00952019844357977	0.00909157	11648	36.1725	0.190049405844358	"Tenant 2"
128	14720	0.00942658101167315	0.00909157	11776	36.57	0.190040044101167	"Tenant 2"
96	14880	0.00933296357976654	0.00909157	11904	36.9675	0.190030682357977	"Tenant 2"
64	15040	0.00923934614785992	0.00909157	12032	37.365	0.190021320614786	"Tenant 2"
32	15200	0.00914572871595331	0.00909157	12160	37.7625	0.190011958871595	"Tenant 2"
0	15360	0.00909869120622568	0.00909157	12288	38.16	0.190007255120623	"Tenant 2"
