20MB	0.409	4901	2005
30MB	0.229	203781	46719
40MB	0.187	194591	36475
52MB	0.174	202139	35223
63MB	0.164	209455	34450
74MB	0.158	207792	32744
83MB	0.154	199362	30619
93MB	0.149	208500	31000
103MB	0.144	204865	29462
115MB	0.142	212830	30154
123MB	0.138	209639	29003
134MB	0.136	206902	28175
143MB	0.134	207238	27845
151MB	0.132	205189	27031
159MB	0.131	210730	27695
169MB	0.129	209112	26893
177MB	0.130	215253	27888
185MB	0.127	208276	26472
192MB	0.125	206407	25894
199MB	0.124	215514	26676
208MB	0.124	213165	26376
215MB	0.122	210318	25709
226MB	0.119	209863	25067
234MB	0.121	207317	25105
241MB	0.119	213295	25438
250MB	0.119	203305	24134
256MB	0.118	208661	24563
264MB	0.116	207491	24147
269MB	0.117	202989	23729
269MB	0.121	207033	24949
269MB	0.136	207222	28081
269MB	0.139	204208	28340
269MB	0.138	211381	29085
258MB	0.135	193619	26144
147MB	0.170	18082	3077
64MB	0.236	120945	28556
64MB	0.191	202406	38586
65MB	0.176	204241	36000
66MB	0.172	201284	34543
66MB	0.167	210021	35125
66MB	0.166	206737	34369
66MB	0.169	207052	34939
66MB	0.169	214198	36294
66MB	0.171	209534	35777
66MB	0.171	208541	35622
66MB	0.169	213282	36005
66MB	0.172	211996	36364
66MB	0.171	204533	35050
66MB	0.170	205846	34978
66MB	0.173	209835	36206
66MB	0.171	204758	34949
66MB	0.171	209376	35724
66MB	0.171	206191	35307
66MB	0.172	202149	34681
66MB	0.169	205062	34662
66MB	0.171	203308	34680
66MB	0.171	203706	34860
66MB	0.170	209583	35619
66MB	0.171	204407	34908
66MB	0.171	207789	35567
66MB	0.170	210191	35773
66MB	0.171	203418	34797
66MB	0.171	208659	35727
66MB	0.171	210096	35971
66MB	0.169	206718	34887
66MB	0.170	207750	35258
66MB	0.170	206713	35156
66MB	0.169	205580	34743
66MB	0.169	203666	34434
66MB	0.169	204318	34451
66MB	0.172	207126	35678
66MB	0.170	202947	34503
66MB	0.170	206370	35026
66MB	0.171	203139	34749
66MB	0.169	207761	35092
66MB	0.170	209029	35579
66MB	0.172	211667	36322
66MB	0.170	203513	34551
66MB	0.170	211291	35946
66MB	0.171	206796	35291
66MB	0.169	205682	34774
66MB	0.170	208142	35458
66MB	0.171	205899	35131
66MB	0.170	201467	34176
66MB	0.169	201114	34063
66MB	0.169	201076	34015
66MB	0.171	202920	34707
66MB	0.169	207166	35056
66MB	0.171	209133	35757
66MB	0.169	205341	34778
66MB	0.169	204362	34471
66MB	0.170	210795	35804
66MB	0.169	202202	34195
66MB	0.169	204711	34695
66MB	0.171	206349	35274
66MB	0.170	206820	35069
66MB	0.170	204526	34764
66MB	0.170	209945	35671
66MB	0.171	208505	35617
