"size.L1"	"mr.L1"	"latency"	"mr.L2"	"size.L2e"	"cost"
640	0.0998010101176471	0.7	0.0602061121416567	15678.8962119326	16.6617670157365
120	0.143238260967742	0.71	0.0607832830513496	13659.661458721	10.2427439374319
60	0.175242791428571	0.72	0.0614771143731778	11631.7996406783	8.31017944888792
60	0.175242791428571	0.73	0.0624975225364431	9956.66624345867	7.19778617729677
60	0.175242791428571	0.74	0.0635179306997085	8281.53284623906	6.08539290570563
60	0.175242791428571	0.75	0.0645383388629738	7346.71254008282	5.46461379614875
60	0.175242791428571	0.76	0.0655587470262391	6496.34818303841	4.89991871529895
60	0.175242791428571	0.77	0.0665791551895044	5821.70036688606	4.45191039988527
60	0.175242791428571	0.78	0.0675995633527697	5330.51214926643	4.12573072412224
60	0.175242791428571	0.79	0.068619971516035	4839.32393164679	3.7995510483592
60	0.175242791428571	0.8	0.0696403796793003	4348.13571402715	3.47337137259616
60	0.175242791428571	0.81	0.0706607878425656	3918.77167715107	3.18824681685813
60	0.175242791428571	0.82	0.0716811960058309	3622.18020387152	2.99129154163343
60	0.175242791428571	0.83	0.0727016041690962	3325.58873059198	2.79433626640873
60	0.175242791428571	0.84	0.0737220123323615	3028.99725731243	2.59738099118404
60	0.175242791428571	0.85	0.0747424204956268	2827.7774520384	2.46375846424425
60	0.175242791428571	0.86	0.0757628286588921	2640.57134693926	2.33944191007685
60	0.175242791428571	0.87	0.0767832368221574	2453.36524184011	2.21512535590945
60	0.175242791428571	0.88	0.0778036449854227	2266.15913674096	2.09080880174204
60	0.175242791428571	0.89	0.078824053148688	2078.95303164181	1.96649224757464
60	0.175242791428571	0.9	0.0798444613119534	1918.87803685601	1.86019244634969
40	0.350175856	0.91	0.0790798382040816	2052.02619815827	1.75329864721447
40	0.350175856	0.92	0.0801002463673469	1909.57228210277	1.65870034358387
40	0.350175856	0.93	0.0811206545306122	1792.66227993377	1.58106479526852
40	0.350175856	0.94	0.0821410626938776	1675.75227776478	1.50342924695317
40	0.350175856	0.95	0.0831614708571429	1558.84227559578	1.42579369863783
40	0.350175856	0.96	0.0841818790204081	1455.6037826358	1.35723688690659
40	0.350175856	0.97	0.0852022871836735	1379.60571242384	1.30676941840645
40	0.350175856	0.98	0.0862226953469388	1303.60764221187	1.25630194990632
20	0.675087928	0.99	0.0839276742040816	1494.53647660562	1.18777812899592
20	0.675087928	1	0.0849480823673469	1418.53840639365	1.13731066049578
20	0.675087928	1.01	0.0859684905306122	1342.54033618169	1.08684319199565
0	1	1.02	0.0836734693877551	1540.18168125787	1.02277689771031
0	1	1.03	0.0846938775510204	1457.47110036347	0.967851902585114
0	1	1.04	0.0857142857142857	1381.4730301515	0.917384434084981
0	1	1.05	0.086734693877551	1305.47495993954	0.866916965584848
0	1	1.06	0.0877551020408163	1229.47688972757	0.816449497084715
0	1	1.07	0.0887755102040816	1153.4788195156	0.765982028584581
0	1	1.08	0.0897959183673469	1077.48074930364	0.715514560084448
0	1	1.09	0.0908163265306123	1003.85280315076	0.666621002092304
0	1	1.1	0.0918367346938775	955.492600889055	0.634506805277888
0	1	1.11	0.0928571428571429	907.132398627344	0.602392608463471
0	1	1.12	0.0938775510204082	858.772196365634	0.570278411649054
0	1	1.13	0.0948979591836735	810.411994103924	0.538164214834637
0	1	1.14	0.0959183673469388	762.369427543007	0.506260947977778
0	1	1.15	0.0969387755102041	730.20917738015	0.484904531854006
0	1	1.16	0.0979591836734694	698.048927217294	0.463548115730234
